,favorite_count,tweet_id,retweet_count,favor_count,retwe_count,rating_levl,stage
0,38029,892420643555336193,8320,20000-141000,6000-62000,>12,doggo
1,32654,892177421306343426,6144,20000-141000,6000-62000,>12,doggo
2,24582,891815181378084864,4068,20000-141000,3500-6000,12,doggo
3,41384,891689557279858688,8462,20000-141000,6000-62000,>12,doggo
4,39568,891327558926688256,9162,20000-141000,6000-62000,12,doggo
5,19870,891087950875897856,3049,11100-20000,2000-3500,>12,doggo
6,11616,890971913173991426,2019,11100-20000,2000-3500,>12,doggo
7,64189,890729181411237888,18454,20000-141000,6000-62000,>12,doggo
8,27304,890609185150312448,4188,20000-141000,3500-6000,>12,doggo
9,31313,890240255349198849,7215,20000-141000,6000-62000,>12,doggo
10,30097,890006608113172480,7176,20000-141000,6000-62000,>12,doggo
11,27298,889880896479866881,4869,20000-141000,3500-6000,>12,doggo
12,47226,889665388333682689,9832,20000-141000,6000-62000,>12,puppo
13,26652,889638837579907072,4437,20000-141000,3500-6000,12,doggo
14,14841,889531135344209921,2199,11100-20000,2000-3500,>12,puppo
15,24777,889278841981685760,5256,20000-141000,3500-6000,>12,doggo
16,28590,888917238123831296,4402,20000-141000,3500-6000,12,doggo
17,25098,888804989199671297,4200,20000-141000,3500-6000,>12,doggo
18,19463,888554962724278272,3474,11100-20000,2000-3500,>12,doggo
19,21356,888078434458587136,3416,20000-141000,2000-3500,12,doggo
20,29623,887705289381826560,5276,20000-141000,3500-6000,>12,doggo
21,45419,887517139158093824,11429,20000-141000,6000-62000,>12,doggo
22,67774,887473957103951883,17781,20000-141000,6000-62000,>12,doggo
23,33078,887343217045368832,10177,20000-141000,6000-62000,>12,doggo
24,30015,887101392804085760,5839,20000-141000,3500-6000,12,doggo
25,34515,886983233522544640,7606,20000-141000,6000-62000,>12,doggo
26,11841,886736880519319552,3211,11100-20000,2000-3500,>12,doggo
27,22017,886680336477933568,4368,20000-141000,3500-6000,>12,doggo
28,20805,886366144734445568,3131,20000-141000,2000-3500,12,pupper
29,116,886267009285017600,4,0-5000,0-2000,12,doggo
30,27479,886258384151887873,6150,20000-141000,6000-62000,>12,doggo
31,32047,885984800019947520,6639,20000-141000,6000-62000,12,doggo
32,35324,885528943205470208,6293,20000-141000,6000-62000,>12,doggo
33,20058,885518971528720385,3680,20000-141000,3500-6000,>12,doggo
34,21529,885167619883638784,4294,20000-141000,3500-6000,>12,doggo
35,76033,884925521741709313,17866,20000-141000,6000-62000,12,doggo
36,27423,884876753390489601,5492,20000-141000,3500-6000,>12,doggo
37,23861,884562892145688576,4595,20000-141000,3500-6000,>12,doggo
38,26502,884441805382717440,5542,20000-141000,3500-6000,>12,doggo
39,71687,884247878851493888,20080,20000-141000,6000-62000,>12,doggo
40,19978,884162670584377345,2925,11100-20000,2000-3500,12,doggo
41,21512,883838122936631299,3379,20000-141000,2000-3500,12,doggo
42,45080,883482846933004288,9728,20000-141000,6000-62000,0-10,doggo
43,22277,883360690899218434,3627,20000-141000,3500-6000,>12,floofer
44,36495,883117836046086144,6533,20000-141000,6000-62000,>12,doggo
45,23517,882992080364220416,3844,20000-141000,3500-6000,>12,doggo
46,27789,882762694511734784,4814,20000-141000,3500-6000,12,pupper
47,27431,882627270321602560,5961,20000-141000,3500-6000,>12,doggo
48,44138,882268110199369728,11365,20000-141000,6000-62000,>12,doggo
49,28838,882045870035918850,4868,20000-141000,3500-6000,>12,doggo
50,23882,881906580714921986,3326,20000-141000,2000-3500,12,doggo
51,49685,881666595344535552,10458,20000-141000,6000-62000,>12,doggo
52,124,881633300179243008,7,0-5000,0-2000,>12,doggo
53,48552,881536004380872706,15629,20000-141000,6000-62000,>12,pupper
54,22677,881268444196462592,5075,20000-141000,3500-6000,12,doggo
55,16714,880935762899988482,2731,11100-20000,2000-3500,>12,doggo
56,20888,880872448815771648,3742,20000-141000,3500-6000,12,doggo
57,28032,880465832366813184,6151,20000-141000,6000-62000,12,doggo
58,26577,880221127280381952,4130,20000-141000,3500-6000,12,doggo
59,27138,880095782870896641,4269,20000-141000,3500-6000,11,doggo
60,21933,879862464715927552,3437,20000-141000,2000-3500,>12,doggo
61,306,879674319642796034,10,0-5000,0-2000,>12,doggo
62,23015,879492040517615616,3121,20000-141000,2000-3500,12,doggo
63,104031,879415818425184262,43437,20000-141000,6000-62000,>12,doggo
64,16484,879376492567855104,3058,11100-20000,2000-3500,12,doggo
65,22161,879050749262655488,4633,20000-141000,3500-6000,11,doggo
66,18657,879008229531029506,2647,11100-20000,2000-3500,>12,doggo
67,19075,878776093423087618,4051,11100-20000,3500-6000,>12,puppo
68,29728,878604707211726852,7075,20000-141000,6000-62000,>12,doggo
69,7611,878281511006478336,1267,5000-11100,0-2000,>12,doggo
70,41327,878057613040115712,6699,20000-141000,6000-62000,>12,doggo
71,78422,877736472329191424,18751,20000-141000,6000-62000,>12,doggo
72,22348,877556246731214848,3744,20000-141000,3500-6000,12,doggo
73,26930,877316821321428993,5091,20000-141000,3500-6000,>12,doggo
74,26673,877201837425926144,5487,20000-141000,3500-6000,12,doggo
75,20346,876838120628539392,3283,20000-141000,2000-3500,12,pupper
76,23130,876537666061221889,4565,20000-141000,3500-6000,>12,doggo
77,18457,876484053909872640,2360,11100-20000,2000-3500,>12,doggo
78,27465,876120275196170240,4614,20000-141000,3500-6000,>12,doggo
79,24795,875747767867523072,4222,20000-141000,3500-6000,>12,doggo
80,21585,875144289856114688,4851,20000-141000,3500-6000,>12,doggo
81,26992,875097192612077568,5964,20000-141000,3500-6000,>12,doggo
82,25071,875021211251597312,4649,20000-141000,3500-6000,12,doggo
83,27378,874680097055178752,4575,20000-141000,3500-6000,12,doggo
84,25650,874296783580663808,4046,20000-141000,3500-6000,>12,pupper
85,22317,874057562936811520,3905,20000-141000,3500-6000,12,doggo
86,34052,874012996292530176,10264,20000-141000,6000-62000,>12,puppo
87,23855,873580283840344065,3894,20000-141000,3500-6000,>12,doggo
88,7140,873213775632977920,1564,5000-11100,0-2000,12,pupper
89,26977,872967104147763200,5350,20000-141000,3500-6000,12,doggo
90,14509,872820683541237760,3655,11100-20000,3500-6000,>12,doggo
91,20517,872620804844003328,3651,20000-141000,3500-6000,>12,doggo
92,40135,872486979161796608,8933,20000-141000,6000-62000,12,doggo
93,33764,872261713294495745,6251,20000-141000,6000-62000,>12,doggo
94,33978,872122724285648897,8049,20000-141000,6000-62000,12,doggo
95,37494,871879754684805121,11060,20000-141000,6000-62000,>12,doggo
96,20021,871762521631449091,3448,20000-141000,2000-3500,12,pupper
97,19973,871515927908634625,3429,11100-20000,2000-3500,12,doggo
98,20694,871102520638267392,5469,20000-141000,3500-6000,>12,doggo
99,22421,871032628920680449,3792,20000-141000,3500-6000,>12,doggo
100,33267,870804317367881728,6164,20000-141000,6000-62000,11,doggo
101,119,870726314365509632,3,0-5000,0-2000,0-10,doggo
102,12286,870656317836468226,2630,11100-20000,2000-3500,>12,doggo
103,81941,870374049280663552,26093,20000-141000,6000-62000,>12,doggo
104,21634,870308999962521604,4139,20000-141000,3500-6000,>12,doggo
105,36320,870063196459192321,8323,20000-141000,6000-62000,>12,doggo
106,42054,869772420881756160,9998,20000-141000,6000-62000,>12,doggo
107,27997,869702957897576449,6330,20000-141000,6000-62000,>12,doggo
108,15844,869596645499047938,3126,11100-20000,2000-3500,12,doggo
109,20298,869227993411051520,3776,20000-141000,3500-6000,>12,doggo
110,65179,868880397819494401,14468,20000-141000,6000-62000,>12,doggo
111,26585,868622495443632128,5295,20000-141000,3500-6000,>12,doggo
112,10067,868552278524837888,2098,5000-11100,2000-3500,12,doggo
113,24065,867900495410671616,4181,20000-141000,3500-6000,12,doggo
114,33821,867774946302451713,7348,20000-141000,6000-62000,>12,doggo
115,16042,867421006826221569,2510,11100-20000,2000-3500,12,puppo
116,32118,867051520902168576,7892,20000-141000,6000-62000,>12,doggo
117,20017,866720684873056260,4831,20000-141000,3500-6000,>12,doggo
118,19274,866686824827068416,3497,11100-20000,2000-3500,12,doggo
119,121925,866450705531457537,35443,20000-141000,6000-62000,>12,pupper
120,52439,866334964761202691,14513,20000-141000,6000-62000,12,doggo
121,25593,865718153858494464,5650,20000-141000,3500-6000,>12,doggo
122,26453,865359393868664832,5032,20000-141000,3500-6000,>12,doggo
123,27984,865006731092295680,7735,20000-141000,6000-62000,>12,doggo
124,32268,864873206498414592,8762,20000-141000,6000-62000,>12,doggo
125,14631,864279568663928832,3059,11100-20000,2000-3500,12,doggo
126,30185,864197398364647424,9013,20000-141000,6000-62000,>12,doggo
127,20639,863907417377173506,4181,20000-141000,3500-6000,>12,doggo
128,15331,863553081350529029,4223,11100-20000,3500-6000,>12,doggo
129,23861,863432100342583297,5316,20000-141000,3500-6000,12,doggo
130,2271,863427515083354112,97,0-5000,0-2000,12,doggo
131,8786,863079547188785154,1114,5000-11100,0-2000,>12,doggo
132,8555,863062471531167744,2480,5000-11100,2000-3500,>12,doggo
133,19217,862831371563274240,5152,11100-20000,3500-6000,>12,doggo
134,17119,862722525377298433,3568,11100-20000,3500-6000,11,doggo
135,20613,862457590147678208,5017,20000-141000,3500-6000,>12,doggo
136,74828,862096992088072192,23590,20000-141000,6000-62000,>12,doggo
137,36236,861383897657036800,10854,20000-141000,6000-62000,>12,doggo
138,17278,861288531465048066,4212,11100-20000,3500-6000,>12,doggo
139,16804,861005113778896900,3850,11100-20000,3500-6000,12,doggo
140,7558,860563773140209665,2188,5000-11100,2000-3500,>12,doggo
141,23771,860524505164394496,5367,20000-141000,3500-6000,>12,doggo
142,18415,860276583193509888,3531,11100-20000,3500-6000,12,doggo
143,16793,860184849394610176,5943,11100-20000,3500-6000,>12,doggo
144,19697,859924526012018688,4168,11100-20000,3500-6000,12,doggo
145,15528,859851578198683649,3572,11100-20000,3500-6000,>12,doggo
146,18731,859607811541651456,1604,11100-20000,0-2000,>12,puppo
147,90702,859196978902773760,30789,20000-141000,6000-62000,12,doggo
148,34147,859074603037188101,13881,20000-141000,6000-62000,>12,doggo
149,15677,858843525470990336,3550,11100-20000,3500-6000,>12,doggo
150,21710,858471635011153920,4951,20000-141000,3500-6000,>12,doggo
151,15882,858107933456039936,2978,11100-20000,2000-3500,12,doggo
152,16300,857989990357356544,2643,11100-20000,2000-3500,12,doggo
153,34652,857746408056729600,10883,20000-141000,6000-62000,>12,doggo
154,5983,857393404942143489,1688,5000-11100,0-2000,>12,doggo
155,20241,857263160327368704,4626,20000-141000,3500-6000,>12,doggo
156,230,857214891891077121,18,0-5000,0-2000,12,doggo
157,19165,857029823797047296,4114,11100-20000,3500-6000,12,doggo
158,16481,856543823941562368,2957,11100-20000,2000-3500,12,doggo
159,12010,856526610513747968,1935,11100-20000,0-2000,>12,doggo
160,527,856288084350160898,17,0-5000,0-2000,>12,doggo
161,28120,856282028240666624,6503,20000-141000,6000-62000,>12,doggo
162,352,855862651834028034,28,0-5000,0-2000,>12,doggo
163,5119,855860136149123072,1060,0-5000,0-2000,>12,doggo
164,12029,855857698524602368,2178,11100-20000,2000-3500,>12,doggo
165,46141,855851453814013952,18254,20000-141000,6000-62000,>12,puppo
166,27041,855818117272018944,5596,20000-141000,3500-6000,>12,doggo
167,30431,855459453768019968,8472,20000-141000,6000-62000,12,doggo
168,23262,854732716440526848,6326,20000-141000,6000-62000,12,doggo
169,29877,854482394044301312,7109,20000-141000,6000-62000,>12,doggo
170,19275,854365224396361728,4860,11100-20000,3500-6000,>12,doggo
171,32628,854120357044912130,7763,20000-141000,6000-62000,>12,pupper
172,16538,854010172552949760,3274,11100-20000,2000-3500,11,floofer
173,29208,853760880890318849,6017,20000-141000,6000-62000,12,doggo
174,35629,853639147608842240,10557,20000-141000,6000-62000,>12,doggo
175,15893,853299958564483072,3721,11100-20000,3500-6000,>12,doggo
176,9288,852912242202992640,1916,5000-11100,0-2000,12,doggo
177,15291,852672615818899456,2252,11100-20000,2000-3500,12,doggo
178,16778,852553447878664193,3669,11100-20000,3500-6000,>12,doggo
179,33968,852311364735569921,10314,20000-141000,6000-62000,>12,doggo
180,20540,852226086759018497,7102,20000-141000,6000-62000,>12,doggo
181,11776,852189679701164033,1662,11100-20000,0-2000,12,doggo
182,16656,851591660324737024,3630,11100-20000,3500-6000,11,doggo
183,24961,851464819735769094,7417,20000-141000,6000-62000,>12,doggo
184,21284,851224888060895234,5989,20000-141000,3500-6000,>12,doggo
185,31921,850753642995093505,9722,20000-141000,6000-62000,11,doggo
186,13450,850380195714523136,2744,11100-20000,2000-3500,>12,doggo
187,3538,850333567704068097,350,0-5000,0-2000,>12,doggo
188,16833,850145622816686080,4024,11100-20000,3500-6000,11,doggo
189,21090,850019790995546112,5147,20000-141000,3500-6000,12,pupper
190,31434,849776966551130114,7985,20000-141000,6000-62000,12,doggo
191,16394,849412302885593088,3305,11100-20000,2000-3500,12,doggo
192,11801,849336543269576704,1990,11100-20000,0-2000,11,doggo
193,43867,849051919805034497,8964,20000-141000,6000-62000,>12,doggo
194,26051,848690551926992896,4545,20000-141000,3500-6000,12,doggo
195,25590,848324959059550208,4839,20000-141000,3500-6000,12,doggo
196,8457,848213670039564288,785,5000-11100,0-2000,11,doggo
197,16894,848212111729840128,3238,11100-20000,2000-3500,0-10,doggo
198,24340,847962785489326080,5387,20000-141000,3500-6000,0-10,doggo
199,5671,847842811428974592,1418,5000-11100,0-2000,12,doggo
200,7258,847617282490613760,447,5000-11100,0-2000,>12,doggo
201,19447,847606175596138505,3583,11100-20000,3500-6000,12,doggo
202,21201,847251039262605312,4540,20000-141000,3500-6000,12,doggo
203,20683,847157206088847362,6187,20000-141000,6000-62000,11,doggo
204,22205,847116187444137987,3378,20000-141000,2000-3500,11,doggo
205,20818,846874817362120707,4152,20000-141000,3500-6000,>12,doggo
206,46337,846514051647705089,12273,20000-141000,6000-62000,>12,doggo
207,14637,846505985330044928,3264,11100-20000,2000-3500,11,doggo
208,32897,846153765933735936,9602,20000-141000,6000-62000,>12,doggo
209,32066,846139713627017216,10459,20000-141000,6000-62000,>12,doggo
210,16607,846042936437604353,3066,11100-20000,2000-3500,12,doggo
211,30434,845812042753855489,9264,20000-141000,6000-62000,>12,doggo
212,26093,845677943972139009,5068,20000-141000,3500-6000,12,doggo
213,7929,845397057150107648,1915,5000-11100,0-2000,>12,doggo
214,24245,845306882940190720,5716,20000-141000,3500-6000,12,pupper
215,14167,844979544864018432,2741,11100-20000,2000-3500,>12,doggo
216,15711,844973813909606400,3412,11100-20000,2000-3500,12,doggo
217,40280,844704788403113984,10977,20000-141000,6000-62000,>12,doggo
218,17153,844580511645339650,3333,11100-20000,2000-3500,11,doggo
219,14189,844223788422217728,2338,11100-20000,2000-3500,12,doggo
220,15755,843981021012017153,3110,11100-20000,2000-3500,>12,doggo
221,22301,843856843873095681,4920,20000-141000,3500-6000,12,doggo
222,17597,843604394117681152,2930,11100-20000,2000-3500,11,doggo
223,22405,843235543001513987,6431,20000-141000,6000-62000,>12,doggo
224,15866,842846295480000512,3828,11100-20000,3500-6000,>12,doggo
225,7030,842765311967449089,1356,5000-11100,0-2000,12,doggo
226,18866,842535590457499648,3732,11100-20000,3500-6000,>12,doggo
227,25522,842163532590374912,6184,20000-141000,6000-62000,12,doggo
228,14607,842115215311396866,3228,11100-20000,2000-3500,12,doggo
229,26751,841680585030541313,8263,20000-141000,6000-62000,12,doggo
230,13177,841439858740625411,3920,11100-20000,3500-6000,>12,doggo
231,20634,841320156043304961,5797,20000-141000,3500-6000,12,doggo
232,16523,841314665196081154,5004,11100-20000,3500-6000,>12,doggo
233,23888,841077006473256960,5664,20000-141000,3500-6000,12,doggo
234,185,840698636975636481,2,0-5000,0-2000,0-10,doggo
235,12840,840696689258311684,1043,11100-20000,0-2000,0-10,doggo
236,9374,840632337062862849,1872,5000-11100,0-2000,12,doggo
237,17201,840370681858686976,4856,11100-20000,3500-6000,>12,doggo
238,20152,840268004936019968,6125,20000-141000,6000-62000,12,doggo
239,14037,839990271299457024,2452,11100-20000,2000-3500,>12,doggo
240,28789,839549326359670784,8323,20000-141000,6000-62000,12,doggo
241,28465,839239871831150596,6992,20000-141000,6000-62000,>12,doggo
242,20521,838952994649550848,4251,20000-141000,3500-6000,>12,doggo
243,11697,838921590096166913,2222,11100-20000,2000-3500,>12,doggo
244,11434,838561493054533637,1418,11100-20000,0-2000,>12,doggo
245,23642,838476387338051585,5150,20000-141000,3500-6000,>12,doggo
246,1760,838150277551247360,354,0-5000,0-2000,>12,doggo
247,18462,838083903487373313,3378,11100-20000,2000-3500,>12,doggo
248,35838,837820167694528512,8422,20000-141000,6000-62000,12,pupper
249,4020,837482249356513284,471,0-5000,0-2000,>12,doggo
250,13406,837471256429613056,2457,11100-20000,2000-3500,12,doggo
251,22152,837366284874571778,5675,20000-141000,3500-6000,>12,doggo
252,16791,837110210464448512,2560,11100-20000,2000-3500,>12,pupper
253,13350,836989968035819520,2466,11100-20000,2000-3500,12,doggo
254,20161,836753516572119041,4949,20000-141000,3500-6000,12,doggo
255,13229,836677758902222849,2381,11100-20000,2000-3500,11,doggo
256,15452,836380477523124226,3178,11100-20000,2000-3500,12,pupper
257,22302,836260088725786625,4606,20000-141000,3500-6000,>12,doggo
258,20043,836001077879255040,4606,20000-141000,3500-6000,>12,doggo
259,18685,835574547218894849,3887,11100-20000,3500-6000,11,doggo
260,17246,835297930240217089,3224,11100-20000,2000-3500,12,doggo
261,8121,835264098648616962,1826,5000-11100,0-2000,12,doggo
262,2196,835246439529840640,78,0-5000,0-2000,>12,doggo
263,27454,835172783151792128,6165,20000-141000,6000-62000,12,doggo
264,23599,835152434251116546,3244,20000-141000,2000-3500,,doggo
265,11384,834931633769889797,1771,11100-20000,0-2000,12,doggo
266,22256,834786237630337024,5901,20000-141000,3500-6000,>12,doggo
267,14368,834574053763584002,2722,11100-20000,2000-3500,>12,doggo
268,10097,834458053273591808,1804,5000-11100,0-2000,12,doggo
269,21657,834209720923721728,5145,20000-141000,3500-6000,12,doggo
270,16568,834167344700198914,3908,11100-20000,3500-6000,11,doggo
271,10558,834089966724603904,2285,5000-11100,2000-3500,0-10,doggo
272,13728,834086379323871233,2387,11100-20000,2000-3500,12,doggo
273,14100,833863086058651648,2590,11100-20000,2000-3500,12,doggo
274,18914,833826103416520705,4017,11100-20000,3500-6000,>12,doggo
275,21783,833722901757046785,3457,20000-141000,2000-3500,>12,doggo
276,15621,833479644947025920,2228,11100-20000,2000-3500,>12,doggo
277,21235,833124694597443584,5212,20000-141000,3500-6000,12,pupper
278,13972,832998151111966721,2387,11100-20000,2000-3500,>12,doggo
279,17703,832757312314028032,3899,11100-20000,3500-6000,>12,doggo
280,12498,832682457690300417,3164,11100-20000,2000-3500,>12,doggo
281,3075,832645525019123713,559,0-5000,0-2000,0-10,doggo
282,16679,832636094638288896,3010,11100-20000,2000-3500,12,doggo
283,12562,832397543355072512,2396,11100-20000,2000-3500,12,doggo
284,18063,832369877331693569,3441,11100-20000,2000-3500,11,doggo
285,11902,832273440279240704,2514,11100-20000,2000-3500,>12,doggo
286,70,832088576586297345,2,0-5000,0-2000,11,doggo
287,18765,832032802820481025,4999,11100-20000,3500-6000,12,doggo
288,25256,831939777352105988,6621,20000-141000,6000-62000,12,doggo
289,360,831926988323639298,35,0-5000,0-2000,12,doggo
290,29122,831911600680497154,7040,20000-141000,6000-62000,>12,doggo
291,11004,831670449226514432,1953,5000-11100,0-2000,>12,doggo
292,7570,831650051525054464,2093,5000-11100,2000-3500,>12,doggo
293,9478,831552930092285952,2475,5000-11100,2000-3500,>12,doggo
294,9701,831322785565769729,1648,5000-11100,0-2000,12,doggo
295,6887,831315979191906304,1207,5000-11100,0-2000,>12,pupper
296,12362,831309418084069378,2634,11100-20000,2000-3500,12,doggo
297,12556,831262627380748289,2214,11100-20000,2000-3500,12,doggo
298,8400,830956169170665475,1614,5000-11100,0-2000,12,doggo
299,70534,830583320585068544,18164,20000-141000,6000-62000,>12,doggo
300,10364,830097400375152640,3247,5000-11100,2000-3500,>12,doggo
301,12892,829861396166877184,2112,11100-20000,2000-3500,12,doggo
302,33471,829501995190984704,11464,20000-141000,6000-62000,12,doggo
303,11040,829449946868879360,2200,5000-11100,2000-3500,11,doggo
304,36518,829374341691346946,10069,20000-141000,6000-62000,>12,doggo
305,25853,829141528400556032,8013,20000-141000,6000-62000,12,doggo
306,55936,829011960981237760,17557,20000-141000,6000-62000,>12,doggo
307,26994,828770345708580865,6347,20000-141000,6000-62000,>12,doggo
308,38648,828708714936930305,12144,20000-141000,6000-62000,0-10,doggo
309,10037,828650029636317184,1458,5000-11100,0-2000,>12,doggo
310,6641,828409743546925057,1247,5000-11100,0-2000,12,doggo
311,8078,828408677031882754,1390,5000-11100,0-2000,12,doggo
312,13331,828381636999917570,2411,11100-20000,2000-3500,>12,doggo
313,7798,828376505180889089,1150,5000-11100,0-2000,>12,doggo
314,13242,828372645993398273,3188,11100-20000,2000-3500,12,doggo
315,2318,828361771580813312,184,0-5000,0-2000,12,doggo
316,12418,828046555563323392,3099,11100-20000,2000-3500,>12,doggo
317,10938,828011680017821696,2328,5000-11100,2000-3500,11,doggo
318,21272,827933404142436356,5657,20000-141000,3500-6000,12,pupper
319,16278,827653905312006145,3250,11100-20000,2000-3500,12,doggo
320,7830,827600520311402496,1028,5000-11100,0-2000,>12,doggo
321,16770,827324948884643840,3325,11100-20000,2000-3500,12,doggo
322,11182,827199976799354881,2429,11100-20000,2000-3500,>12,doggo
323,22813,826958653328592898,5425,20000-141000,3500-6000,12,doggo
324,38571,826848821049180160,11072,20000-141000,6000-62000,>12,doggo
325,5410,826598799820865537,276,0-5000,0-2000,0-10,doggo
326,10658,826598365270007810,2551,5000-11100,2000-3500,>12,doggo
327,19484,826476773533745153,4543,11100-20000,3500-6000,12,doggo
328,14058,826240494070030336,2810,11100-20000,2000-3500,11,doggo
329,5171,826204788643753985,1009,0-5000,0-2000,>12,doggo
330,16573,826115272272650244,3405,11100-20000,2000-3500,>12,doggo
331,11072,825876512159186944,2027,5000-11100,2000-3500,11,doggo
332,13484,825829644528148480,2698,11100-20000,2000-3500,12,doggo
333,55141,825535076884762624,18662,20000-141000,6000-62000,>12,puppo
334,19385,825147591692263424,4967,11100-20000,3500-6000,>12,doggo
335,6729,825026590719483904,1389,5000-11100,0-2000,12,puppo
336,15867,824775126675836928,3824,11100-20000,3500-6000,12,doggo
337,10678,824663926340194305,1888,5000-11100,0-2000,>12,doggo
338,12484,824325613288833024,11283,11100-20000,6000-62000,>12,pupper
339,15954,824297048279236611,4203,11100-20000,3500-6000,11,doggo
340,5054,824025158776213504,641,0-5000,0-2000,>12,doggo
341,11276,823939628516474880,2949,11100-20000,2000-3500,12,doggo
342,13341,823699002998870016,2629,11100-20000,2000-3500,12,doggo
343,13823,823581115634085888,2875,11100-20000,2000-3500,11,doggo
344,739,823333489516937216,27,0-5000,0-2000,>12,doggo
345,16688,823322678127919110,4370,11100-20000,3500-6000,11,doggo
346,18323,822975315408461824,3740,11100-20000,3500-6000,12,doggo
347,140411,822872901745569793,47696,20000-141000,6000-62000,>12,puppo
348,14021,822859134160621569,2491,11100-20000,2000-3500,12,doggo
349,15679,822610361945911296,3229,11100-20000,2000-3500,12,doggo
350,19274,822489057087389700,6975,11100-20000,6000-62000,>12,doggo
351,30218,822462944365645825,15948,20000-141000,6000-62000,>12,pupper
352,37162,822244816520155136,10714,20000-141000,6000-62000,11,doggo
353,12058,821886076407029760,2548,11100-20000,2000-3500,>12,doggo
354,8933,821765923262631936,1815,5000-11100,0-2000,>12,doggo
355,8514,821522889702862852,1932,5000-11100,0-2000,>12,doggo
356,12491,821407182352777218,4735,11100-20000,3500-6000,>12,doggo
357,270,821153421864615936,10,0-5000,0-2000,>12,doggo
358,9262,821149554670182400,2195,5000-11100,2000-3500,12,doggo
