,favorite_count,tweet_id,retweet_count,favor_count,retwe_count,rating_levl,stage
359,10184,821107785811234820,2317,5000-11100,2000-3500,11,doggo
360,13459,821044531881721856,2496,11100-20000,2000-3500,12,doggo
361,33513,820749716845686786,10799,20000-141000,6000-62000,>12,doggo
362,12960,820690176645140481,3513,11100-20000,3500-6000,>12,doggo
363,3539,820314633777061888,616,0-5000,0-2000,>12,doggo
364,21063,820078625395449857,6855,20000-141000,6000-62000,12,doggo
365,5645,819952236453363712,1290,5000-11100,0-2000,>12,puppo
366,13678,819924195358416896,5273,11100-20000,3500-6000,11,doggo
367,14301,819711362133872643,3420,11100-20000,2000-3500,11,doggo
368,10168,819588359383371776,2146,5000-11100,2000-3500,>12,doggo
369,7673,819347104292290561,1316,5000-11100,0-2000,12,doggo
370,2426,819238181065359361,440,0-5000,0-2000,0-10,pupper
371,24558,819227688460238848,7307,20000-141000,6000-62000,12,doggo
372,48031,819006400881917954,20653,20000-141000,6000-62000,>12,doggo
373,91930,819004803107983360,40058,20000-141000,6000-62000,>12,doggo
374,23606,818627210458333184,8126,20000-141000,6000-62000,>12,doggo
375,10494,818614493328580609,2820,5000-11100,2000-3500,12,doggo
376,11603,818536468981415936,2708,11100-20000,2000-3500,11,doggo
377,11742,818259473185828864,2497,11100-20000,2000-3500,12,doggo
378,13081,818145370475810820,2836,11100-20000,2000-3500,11,doggo
379,5152,817908911860748288,861,0-5000,0-2000,12,doggo
380,55173,817827839487737858,29660,20000-141000,6000-62000,>12,doggo
381,11385,817777686764523521,2921,11100-20000,2000-3500,>12,pupper
382,12568,817536400337801217,3316,11100-20000,2000-3500,12,doggo
383,36430,817423860136083457,16335,20000-141000,6000-62000,>12,doggo
384,5977,817415592588222464,1050,5000-11100,0-2000,11,doggo
385,9289,817171292965273600,2195,5000-11100,2000-3500,>12,doggo
386,12961,817120970343411712,2866,11100-20000,2000-3500,>12,doggo
387,9130,817056546584727552,1805,5000-11100,0-2000,11,doggo
388,10646,816816676327063552,2223,5000-11100,2000-3500,12,doggo
389,10447,816697700272001025,2415,5000-11100,2000-3500,12,doggo
390,32568,816450570814898180,8867,20000-141000,6000-62000,>12,doggo
391,9157,816336735214911488,2136,5000-11100,2000-3500,11,doggo
392,9511,816091915477250048,2359,5000-11100,2000-3500,12,doggo
393,5326,815990720817401858,1137,0-5000,0-2000,11,doggo
394,23914,815966073409433600,9287,20000-141000,6000-62000,>12,pupper
395,10492,815736392542261248,2486,5000-11100,2000-3500,11,doggo
396,8757,815639385530101762,1795,5000-11100,0-2000,12,doggo
397,11045,815390420867969024,4166,5000-11100,3500-6000,>12,doggo
398,8139,814986499976527872,1414,5000-11100,0-2000,11,pupper
399,12016,814638523311648768,2964,11100-20000,2000-3500,12,doggo
400,9236,814530161257443328,2032,5000-11100,2000-3500,12,doggo
401,30700,814153002265309185,9507,20000-141000,6000-62000,12,doggo
402,9913,813910438903693312,2061,5000-11100,2000-3500,11,doggo
403,38769,813812741911748608,15334,20000-141000,6000-62000,>12,doggo
404,8898,813800681631023104,1921,5000-11100,0-2000,12,doggo
405,19939,813217897535406080,7991,11100-20000,6000-62000,>12,doggo
406,9800,813202720496779264,1969,5000-11100,0-2000,11,doggo
407,21168,813187593374461952,4787,20000-141000,3500-6000,>12,doggo
408,9954,813172488309972993,2094,5000-11100,2000-3500,12,doggo
409,8282,813157409116065792,2428,5000-11100,2000-3500,12,doggo
410,8991,813142292504645637,2579,5000-11100,2000-3500,>12,doggo
411,4772,813130366689148928,486,0-5000,0-2000,12,doggo
412,12657,813127251579564032,3422,11100-20000,2000-3500,11,doggo
413,11025,813112105746448384,3019,5000-11100,2000-3500,12,doggo
414,11243,813096984823349248,3942,11100-20000,3500-6000,11,doggo
415,10546,813081950185472002,3031,5000-11100,2000-3500,11,doggo
416,8500,813066809284972545,2131,5000-11100,2000-3500,12,doggo
417,22391,813051746834595840,8037,20000-141000,6000-62000,>12,doggo
418,8095,812781120811126785,2093,5000-11100,2000-3500,0-10,doggo
419,7073,812709060537683968,1566,5000-11100,0-2000,12,doggo
420,6487,812503143955202048,1335,5000-11100,0-2000,>12,doggo
421,8528,812466873996607488,2109,5000-11100,2000-3500,12,doggo
422,14627,812372279581671427,4016,11100-20000,3500-6000,>12,doggo
423,7756,811985624773361665,1541,5000-11100,0-2000,11,doggo
424,8066,811744202451197953,1762,5000-11100,0-2000,>12,doggo
425,5959,811647686436880384,812,5000-11100,0-2000,11,doggo
426,13645,811627233043480576,3423,11100-20000,2000-3500,0-10,doggo
427,22343,811386762094317568,7007,20000-141000,6000-62000,11,pupper
428,5694,810984652412424192,1570,5000-11100,0-2000,>12,doggo
429,9664,810896069567610880,1959,5000-11100,0-2000,11,doggo
430,11722,810657578271330305,2904,11100-20000,2000-3500,11,doggo
431,37867,810284430598270976,12491,20000-141000,6000-62000,>12,doggo
432,15698,810254108431155201,3672,11100-20000,3500-6000,12,doggo
433,16560,809920764300447744,4280,11100-20000,3500-6000,0-10,doggo
434,7406,809448704142938112,1610,5000-11100,0-2000,12,doggo
435,21302,809220051211603969,6158,20000-141000,6000-62000,12,doggo
436,14131,809084759137812480,3844,11100-20000,3500-6000,11,doggo
437,10803,808838249661788160,3335,5000-11100,2000-3500,>12,doggo
438,8456,808733504066486276,2382,5000-11100,2000-3500,12,pupper
439,12054,808501579447930884,2856,11100-20000,2000-3500,12,doggo
440,45422,808344865868283904,22774,20000-141000,6000-62000,11,doggo
441,9342,808106460588765185,2408,5000-11100,2000-3500,12,pupper
442,13445,808001312164028416,3876,11100-20000,3500-6000,12,doggo
443,15581,807621403335917568,4032,11100-20000,3500-6000,>12,pupper
444,127039,807106840509214720,60976,20000-141000,6000-62000,>12,doggo
445,13959,807010152071229440,4199,11100-20000,3500-6000,12,doggo
446,80369,806629075125202948,38236,20000-141000,6000-62000,>12,doggo
447,5185,806576416489959424,2112,0-5000,2000-3500,>12,doggo
448,10926,806542213899489280,2596,5000-11100,2000-3500,11,doggo
449,6865,806219024703037440,1311,5000-11100,0-2000,11,doggo
450,8845,805932879469572096,2095,5000-11100,2000-3500,12,doggo
451,7043,805826884734976000,2010,5000-11100,2000-3500,12,doggo
452,6139,805520635690676224,1803,5000-11100,0-2000,>12,doggo
453,9382,805487436403003392,2780,5000-11100,2000-3500,12,doggo
454,8344,805207613751304193,1871,5000-11100,0-2000,12,doggo
455,14686,804738756058218496,4226,11100-20000,3500-6000,12,doggo
456,6568,804475857670639616,2208,5000-11100,2000-3500,>12,doggo
457,47753,804026241225523202,17809,20000-141000,6000-62000,>12,doggo
458,10748,803773340896923648,3043,5000-11100,2000-3500,12,puppo
459,11753,803638050916102144,4536,11100-20000,3500-6000,>12,pupper
460,8304,803380650405482500,2036,5000-11100,2000-3500,12,doggo
461,10733,803276597545603072,2711,5000-11100,2000-3500,11,doggo
462,9672,802952499103731712,2206,5000-11100,2000-3500,12,doggo
463,7620,802600418706604034,1618,5000-11100,0-2000,11,doggo
464,9564,802572683846291456,2746,5000-11100,2000-3500,12,doggo
465,17385,802323869084381190,6400,11100-20000,6000-62000,>12,doggo
466,7063,802265048156610565,1497,5000-11100,0-2000,11,pupper
467,9711,802239329049477120,2859,5000-11100,2000-3500,12,puppo
468,8259,801958328846974976,1875,5000-11100,0-2000,12,doggo
469,1882,801854953262350336,258,0-5000,0-2000,11,doggo
470,8776,801538201127157760,2254,5000-11100,2000-3500,12,doggo
471,6487,801285448605831168,917,5000-11100,0-2000,0-10,doggo
472,26243,801167903437357056,6534,20000-141000,6000-62000,>12,doggo
473,8649,801115127852503040,2292,5000-11100,2000-3500,12,pupper
474,740,800859414831898624,106,0-5000,0-2000,11,doggo
475,11237,800751577355128832,3044,11100-20000,2000-3500,12,doggo
476,14068,800513324630806528,3302,11100-20000,2000-3500,11,doggo
477,10127,800459316964663297,2371,5000-11100,2000-3500,12,pupper
478,11933,800388270626521089,3085,11100-20000,2000-3500,12,floofer
479,16393,800141422401830912,2820,11100-20000,2000-3500,>12,doggo
480,30416,800018252395122689,14468,20000-141000,6000-62000,11,doggo
481,9014,799757965289017345,2375,5000-11100,2000-3500,>12,doggo
482,8620,799422933579902976,2106,5000-11100,2000-3500,12,doggo
483,10614,799297110730567681,3044,5000-11100,2000-3500,11,doggo
484,8665,799063482566066176,2706,5000-11100,2000-3500,11,doggo
485,14104,798933969379225600,4918,11100-20000,3500-6000,12,doggo
486,7976,798925684722855936,1573,5000-11100,0-2000,11,doggo
487,11124,798209839306514432,2810,11100-20000,2000-3500,>12,doggo
488,12479,797971864723324932,3448,11100-20000,2000-3500,12,pupper
489,15530,797545162159308800,5335,11100-20000,3500-6000,12,doggo
490,21398,797236660651966464,7284,20000-141000,6000-62000,12,doggo
491,248,797165961484890113,29,0-5000,0-2000,11,doggo
492,8226,796865951799083009,2089,5000-11100,2000-3500,12,doggo
493,12723,796759840936919040,3358,11100-20000,2000-3500,11,doggo
494,8117,796484825502875648,1938,5000-11100,0-2000,12,doggo
495,11781,796387464403357696,4578,11100-20000,3500-6000,12,doggo
496,34672,796149749086875649,15741,20000-141000,6000-62000,11,doggo
497,5291,796125600683540480,1958,0-5000,0-2000,>12,doggo
498,9744,796116448414461957,2656,5000-11100,2000-3500,11,doggo
499,9062,796080075804475393,2548,5000-11100,2000-3500,12,doggo
500,11571,796031486298386433,4042,11100-20000,3500-6000,>12,doggo
501,53375,795464331001561088,26198,20000-141000,6000-62000,>12,doggo
502,10825,795400264262053889,3151,5000-11100,2000-3500,12,doggo
503,17399,795076730285391872,5964,11100-20000,3500-6000,11,doggo
504,11028,794926597468000259,2531,5000-11100,2000-3500,12,doggo
505,10258,794332329137291264,2911,5000-11100,2000-3500,12,doggo
506,9857,794205286408003585,3638,5000-11100,3500-6000,>12,pupper
507,18031,793962221541933056,5377,11100-20000,3500-6000,12,doggo
508,9865,793845145112371200,2064,5000-11100,2000-3500,>12,doggo
509,8539,793601777308463104,1798,5000-11100,0-2000,12,doggo
510,11462,793500921481273345,2615,11100-20000,2000-3500,12,doggo
511,26361,793286476301799424,10117,20000-141000,6000-62000,>12,doggo
512,9266,793271401113350145,2597,5000-11100,2000-3500,12,doggo
513,21429,793256262322548741,9166,20000-141000,6000-62000,12,doggo
514,11264,793241302385262592,3601,11100-20000,3500-6000,>12,doggo
515,10546,793226087023144960,3142,5000-11100,2000-3500,11,doggo
516,9572,793210959003287553,3090,5000-11100,2000-3500,0-10,doggo
517,16366,793195938047070209,6180,11100-20000,6000-62000,12,puppo
518,7421,793180763617361921,2185,5000-11100,2000-3500,11,doggo
519,10078,793165685325201412,3054,5000-11100,2000-3500,12,doggo
520,6617,793150605191548928,1871,5000-11100,0-2000,11,doggo
521,6942,793135492858580992,2742,5000-11100,2000-3500,>12,doggo
522,13601,793120401413079041,4295,11100-20000,3500-6000,11,doggo
523,15372,792913359805018113,4414,11100-20000,3500-6000,>12,doggo
524,12118,792883833364439040,4697,11100-20000,3500-6000,12,doggo
525,7870,792773781206999040,1847,5000-11100,0-2000,12,doggo
526,14417,792394556390137856,4705,11100-20000,3500-6000,12,doggo
527,7693,792050063153438720,1977,5000-11100,0-2000,11,doggo
528,48394,791774931465953280,24400,20000-141000,6000-62000,>12,doggo
529,12605,791672322847637504,3424,11100-20000,2000-3500,>12,doggo
530,14059,791406955684368384,4518,11100-20000,3500-6000,12,doggo
531,9415,791312159183634433,2792,5000-11100,2000-3500,12,doggo
532,10596,790987426131050500,2348,5000-11100,2000-3500,12,doggo
533,17789,790946055508652032,5153,11100-20000,3500-6000,12,puppo
534,8776,790698755171364864,2095,5000-11100,2000-3500,12,doggo
535,22144,790581949425475584,7890,20000-141000,6000-62000,11,doggo
536,8374,790337589677002753,2049,5000-11100,2000-3500,12,doggo
537,13433,790277117346975746,3495,11100-20000,2000-3500,11,doggo
538,9911,789986466051088384,2544,5000-11100,2000-3500,12,doggo
539,11135,789903600034189313,4526,11100-20000,3500-6000,>12,pupper
540,8047,789628658055020548,1957,5000-11100,0-2000,>12,doggo
541,7246,789599242079838210,2126,5000-11100,2000-3500,12,doggo
542,12600,789530877013393408,3696,11100-20000,3500-6000,12,doggo
543,9224,789314372632018944,2526,5000-11100,2000-3500,>12,doggo
544,9764,789268448748703744,2826,5000-11100,2000-3500,0-10,doggo
545,10392,789137962068021249,3065,5000-11100,2000-3500,12,doggo
546,29356,788908386943430656,13584,20000-141000,6000-62000,11,doggo
547,29371,788765914992902144,11294,20000-141000,6000-62000,12,doggo
548,16694,788412144018661376,5811,11100-20000,3500-6000,11,doggo
549,7742,788178268662984705,2320,5000-11100,2000-3500,>12,doggo
550,6585,788150585577050112,1429,5000-11100,0-2000,>12,doggo
551,6575,788039637453406209,1450,5000-11100,0-2000,12,doggo
552,9292,787810552592695296,3353,5000-11100,2000-3500,11,doggo
553,10935,787717603741622272,3049,5000-11100,2000-3500,>12,puppo
554,11609,787397959788929025,3107,11100-20000,2000-3500,11,doggo
555,8339,787322443945877504,1912,5000-11100,0-2000,0-10,doggo
556,28451,786963064373534720,8751,20000-141000,6000-62000,12,doggo
557,19456,786709082849828864,6670,11100-20000,6000-62000,>12,doggo
558,11401,786664955043049472,2806,11100-20000,2000-3500,12,doggo
559,10074,786595970293370880,3396,5000-11100,2000-3500,11,doggo
560,11672,786363235746385920,3838,11100-20000,3500-6000,>12,doggo
561,8521,786286427768250368,3136,5000-11100,2000-3500,12,doggo
562,16368,786233965241827333,5232,11100-20000,3500-6000,11,doggo
563,1542,786051337297522688,169,0-5000,0-2000,>12,puppo
564,12145,785927819176054784,3467,11100-20000,2000-3500,12,doggo
565,7145,785872687017132033,2001,5000-11100,2000-3500,12,doggo
566,8345,785639753186217984,2429,5000-11100,2000-3500,0-10,pupper
567,9739,785533386513321988,2192,5000-11100,2000-3500,11,doggo
568,6516,785515384317313025,1373,5000-11100,0-2000,0-10,doggo
569,7760,785264754247995392,1789,5000-11100,0-2000,12,doggo
570,12929,785170936622350336,5326,11100-20000,3500-6000,11,doggo
571,10835,784826020293709826,3538,5000-11100,3500-6000,>12,doggo
572,9579,784517518371221505,2776,5000-11100,2000-3500,11,doggo
573,6084,784431430411685888,1403,5000-11100,0-2000,12,doggo
574,21498,784183165795655680,8821,20000-141000,6000-62000,12,puppo
575,31937,784057939640352768,12195,20000-141000,6000-62000,12,doggo
576,32116,783839966405230592,11816,20000-141000,6000-62000,>12,doggo
577,7854,783821107061198850,2139,5000-11100,2000-3500,12,doggo
578,11161,783695101801398276,3525,11100-20000,3500-6000,12,doggo
579,9026,783466772167098368,2464,5000-11100,2000-3500,11,doggo
580,18014,783391753726550016,6021,11100-20000,6000-62000,>12,doggo
581,31215,783334639985389568,12808,20000-141000,6000-62000,12,doggo
582,8690,783085703974514689,2428,5000-11100,2000-3500,11,doggo
583,25754,782969140009107456,8037,20000-141000,6000-62000,12,doggo
584,7970,782747134529531904,1523,5000-11100,0-2000,11,doggo
585,18458,782722598790725632,5901,11100-20000,3500-6000,0-10,doggo
586,8299,782598640137187329,2045,5000-11100,2000-3500,11,doggo
587,17795,782305867769217024,6095,11100-20000,6000-62000,12,doggo
588,11864,781955203444699136,3674,11100-20000,3500-6000,11,doggo
589,11148,781661882474196992,2960,11100-20000,2000-3500,0-10,doggo
590,4275,781655249211752448,1225,0-5000,0-2000,11,doggo
591,22141,781524693396357120,6054,20000-141000,6000-62000,12,doggo
592,7600,781308096455073793,2782,5000-11100,2000-3500,12,pupper
593,9003,781251288990355457,2292,5000-11100,2000-3500,11,doggo
594,10416,781163403222056960,2986,5000-11100,2000-3500,0-10,doggo
595,23097,780931614150983680,8015,20000-141000,6000-62000,>12,puppo
596,7677,780858289093574656,2184,5000-11100,2000-3500,0-10,doggo
597,5871,780800785462489090,1415,5000-11100,0-2000,11,doggo
598,12891,780601303617732608,3635,11100-20000,3500-6000,12,doggo
599,6725,780543529827336192,1894,5000-11100,0-2000,12,doggo
600,5637,780459368902959104,1166,5000-11100,0-2000,11,doggo
601,9280,780192070812196864,2438,5000-11100,2000-3500,11,doggo
602,13060,780074436359819264,5446,11100-20000,3500-6000,0-10,doggo
603,20245,779834332596887552,7742,20000-141000,6000-62000,11,doggo
604,9404,779377524342161408,3396,5000-11100,2000-3500,12,pupper
605,12580,779123168116150273,3974,11100-20000,3500-6000,12,doggo
606,15776,779056095788752897,4936,11100-20000,3500-6000,>12,doggo
607,21340,778990705243029504,7928,20000-141000,6000-62000,11,doggo
608,914,778764940568104960,401,0-5000,0-2000,>12,doggo
609,7356,778748913645780993,1449,5000-11100,0-2000,11,doggo
610,6147,778650543019483137,1626,5000-11100,0-2000,0-10,doggo
611,4954,778624900596654080,1100,0-5000,0-2000,11,doggo
612,14551,778408200802557953,4743,11100-20000,3500-6000,>12,doggo
613,6219,778383385161035776,1206,5000-11100,0-2000,>12,doggo
614,11079,778286810187399168,3600,5000-11100,3500-6000,11,doggo
615,9025,778039087836069888,2869,5000-11100,2000-3500,12,pupper
616,6984,778027034220126208,1766,5000-11100,0-2000,>12,pupper
617,6772,777885040357281792,1789,5000-11100,0-2000,0-10,doggo
618,11960,777684233540206592,3212,11100-20000,2000-3500,12,doggo
619,9345,777621514455814149,2714,5000-11100,2000-3500,12,doggo
620,15262,777189768882946048,4719,11100-20000,3500-6000,12,doggo
621,5195,776813020089548800,1318,0-5000,0-2000,12,doggo
622,9421,776477788987613185,3044,5000-11100,2000-3500,11,pupper
623,31967,776218204058357768,17391,20000-141000,6000-62000,>12,floofer
624,10212,776201521193218049,2743,5000-11100,2000-3500,0-10,doggo
625,12512,776113305656188928,4739,11100-20000,3500-6000,11,pupper
626,1947,776088319444877312,165,0-5000,0-2000,0-10,doggo
627,12473,775842724423557120,2912,11100-20000,2000-3500,12,doggo
628,14743,775733305207554048,4364,11100-20000,3500-6000,11,doggo
629,13751,775729183532220416,4976,11100-20000,3500-6000,>12,doggo
630,7906,775364825476165632,3232,5000-11100,2000-3500,11,doggo
631,10793,775350846108426240,4248,5000-11100,3500-6000,12,doggo
632,16532,775085132600442880,5145,11100-20000,3500-6000,>12,doggo
633,9095,774757898236878852,1926,5000-11100,0-2000,12,doggo
634,7142,774639387460112384,1885,5000-11100,0-2000,0-10,doggo
635,23159,774314403806253056,6067,20000-141000,6000-62000,>12,doggo
636,11417,773985732834758656,4217,11100-20000,3500-6000,11,pupper
637,6802,773922284943896577,1879,5000-11100,0-2000,12,doggo
638,7019,773704687002451968,1773,5000-11100,0-2000,12,doggo
639,5658,773670353721753600,1407,5000-11100,0-2000,0-10,doggo
640,23476,773547596996571136,6700,20000-141000,6000-62000,11,pupper
641,24707,773308824254029826,8118,20000-141000,6000-62000,12,doggo
642,10014,773247561583001600,3490,5000-11100,2000-3500,0-10,doggo
643,10612,773191612633579521,4466,5000-11100,3500-6000,12,doggo
644,9109,772877495989305348,4209,5000-11100,3500-6000,11,doggo
645,8490,772826264096874500,2531,5000-11100,2000-3500,11,doggo
646,6879,772581559778025472,1838,5000-11100,0-2000,0-10,doggo
647,6388,772193107915964416,1501,5000-11100,0-2000,12,pupper
648,4015,772152991789019136,1213,0-5000,0-2000,0-10,doggo
649,3991,772117678702071809,797,0-5000,0-2000,12,doggo
650,2886,772114945936949249,512,0-5000,0-2000,0-10,doggo
651,4252,772102971039580160,1006,0-5000,0-2000,11,doggo
652,6986,771908950375665664,2054,5000-11100,2000-3500,>12,doggo
653,12747,771770456517009408,3690,11100-20000,3500-6000,11,doggo
654,8792,771500966810099713,2850,5000-11100,2000-3500,12,doggo
655,11168,771380798096281600,5538,11100-20000,3500-6000,11,doggo
656,9749,771136648247640064,3186,5000-11100,2000-3500,11,doggo
657,6625,771102124360998913,1558,5000-11100,0-2000,12,doggo
658,7298,771014301343748096,1802,5000-11100,0-2000,0-10,doggo
659,5265,770787852854652928,1321,0-5000,0-2000,0-10,doggo
660,5508,770772759874076672,1531,5000-11100,0-2000,11,doggo
661,7773,770655142660169732,1890,5000-11100,0-2000,11,doggo
662,6678,770414278348247044,2236,5000-11100,2000-3500,11,doggo
663,6626,770293558247038976,1614,5000-11100,0-2000,0-10,doggo
664,8054,770069151037685760,2494,5000-11100,2000-3500,0-10,doggo
665,33399,769940425801170949,10474,20000-141000,6000-62000,12,doggo
666,6778,769695466921623552,1797,5000-11100,0-2000,>12,doggo
667,5725,769212283578875904,1861,5000-11100,0-2000,12,doggo
668,15292,768970937022709760,7096,11100-20000,6000-62000,12,doggo
669,4448,768855141948723200,962,0-5000,0-2000,11,doggo
670,4367,768609597686943744,1316,0-5000,0-2000,0-10,doggo
671,5328,768596291618299904,1383,0-5000,0-2000,12,doggo
672,14470,768473857036525572,3714,11100-20000,3500-6000,11,doggo
673,11576,768193404517830656,3843,11100-20000,3500-6000,0-10,doggo
674,5044,767884188863397888,1521,0-5000,0-2000,0-10,doggo
675,17002,767754930266464257,5836,11100-20000,3500-6000,11,doggo
676,7936,767500508068192258,2528,5000-11100,2000-3500,12,doggo
677,13018,767191397493538821,4128,11100-20000,3500-6000,>12,doggo
678,10743,767122157629476866,3090,5000-11100,2000-3500,>12,doggo
679,5384,766793450729734144,1469,0-5000,0-2000,0-10,doggo
680,2765,766714921925144576,419,0-5000,0-2000,>12,doggo
681,4275,766693177336135680,856,0-5000,0-2000,11,doggo
682,6388,766423258543644672,1730,5000-11100,0-2000,0-10,doggo
683,7183,766313316352462849,2038,5000-11100,2000-3500,12,doggo
684,4537,766069199026450432,932,0-5000,0-2000,12,doggo
685,3969,766008592277377025,535,0-5000,0-2000,11,doggo
686,7681,765719909049503744,2330,5000-11100,2000-3500,12,doggo
687,5507,765669560888528897,1321,5000-11100,0-2000,12,doggo
688,28030,765395769549590528,3675,20000-141000,3500-6000,>12,doggo
689,7523,765371061932261376,2337,5000-11100,2000-3500,11,pupper
690,12319,765222098633691136,3668,11100-20000,3500-6000,0-10,doggo
691,6814,764857477905154048,1917,5000-11100,0-2000,12,doggo
692,6420,764259802650378240,1640,5000-11100,0-2000,0-10,doggo
693,786,763956972077010945,59,0-5000,0-2000,12,doggo
694,13353,763837565564780549,4517,11100-20000,3500-6000,11,doggo
695,5728,763183847194451968,1591,5000-11100,0-2000,0-10,doggo
696,7800,763103485927849985,2466,5000-11100,2000-3500,0-10,doggo
697,12885,762699858130116608,3922,11100-20000,3500-6000,11,doggo
698,11947,762471784394268675,7007,11100-20000,6000-62000,12,doggo
699,10928,762464539388485633,4548,5000-11100,3500-6000,12,doggo
700,5106,762316489655476224,1220,0-5000,0-2000,11,doggo
701,33897,762035686371364864,16878,20000-141000,6000-62000,>12,doggo
702,5718,761976711479193600,2187,5000-11100,2000-3500,12,doggo
703,4508,761745352076779520,931,0-5000,0-2000,11,doggo
704,52490,761672994376806400,31406,20000-141000,6000-62000,0-10,doggo
705,4371,761599872357261312,1269,0-5000,0-2000,11,doggo
706,5503,761334018830917632,1567,5000-11100,0-2000,0-10,doggo
707,4729,761292947749015552,1186,0-5000,0-2000,11,doggo
708,5621,761227390836215808,1679,5000-11100,0-2000,0-10,doggo
709,11973,761004547850530816,3751,11100-20000,3500-6000,11,doggo
710,4043,760893934457552897,1052,0-5000,0-2000,11,doggo
711,6991,760656994973933572,2082,5000-11100,2000-3500,11,doggo
712,5245,760641137271070720,1396,0-5000,0-2000,12,doggo
713,8024,760539183865880579,3925,5000-11100,3500-6000,12,doggo
714,4474,760521673607086080,1512,0-5000,0-2000,12,doggo
715,28390,760290219849637889,12415,20000-141000,6000-62000,>12,doggo
716,4171,760252756032651264,933,0-5000,0-2000,0-10,doggo
717,6031,760190180481531904,1956,5000-11100,0-2000,0-10,doggo
718,6278,759943073749200896,2259,5000-11100,2000-3500,12,pupper
719,15541,759923798737051648,6125,11100-20000,6000-62000,0-10,doggo
720,7110,759846353224826880,2142,5000-11100,2000-3500,11,doggo
721,6302,759793422261743616,2052,5000-11100,2000-3500,12,pupper
722,4974,759557299618865152,1267,0-5000,0-2000,0-10,doggo
723,8978,759447681597108224,2647,5000-11100,2000-3500,11,doggo
724,1768,759446261539934208,524,0-5000,0-2000,0-10,doggo
725,6404,759197388317847553,2102,5000-11100,2000-3500,12,doggo
726,15369,759099523532779520,4511,11100-20000,3500-6000,0-10,doggo
727,6892,759047813560868866,2180,5000-11100,2000-3500,11,doggo
728,3756,758854675097526272,965,0-5000,0-2000,11,doggo
729,11814,758828659922702336,4141,11100-20000,3500-6000,>12,doggo
